Type,Haplotype,Clone,tool,AUROC,AUPRC,Accuracy,Precision,Recall,F1 Score,Kappa,Brier Score,Specificity,PPV,NPV
CN_Loss,maternal,clone7,chisel_5x,0.49852941176470583,0.1409326888650197,0.8263157894736842,0.10204081632653061,0.08333333333333333,0.09174311926605505,-0.0031999999999998696,0.1736842105263158,0.9137254901960784,0.10204081632653061,0.8944337811900192
CN_Loss,maternal,clone8,chisel_5x,0.5848417318537383,0.39069685082270894,0.8263157894736842,0.42857142857142855,0.22826086956521738,0.2978723404255319,0.20915435714886343,0.1736842105263158,0.9414225941422594,0.42857142857142855,0.8637236084452975
CN_Loss,maternal,clone9,chisel_5x,0.4785714285714286,0.12350320245057085,0.7964912280701755,0.07407407407407407,0.05714285714285714,0.06451612903225806,-0.04752851711026618,0.20350877192982456,0.9,0.07407407407407407,0.872093023255814
CN_Loss,paternal,normal,chisel_5x,,,1.0,0.0,0.0,0.0,,0.0,,,
CN_Loss,paternal,clone1,chisel_5x,0.6529411764705882,0.4242138364779874,0.8789473684210526,0.41509433962264153,0.36666666666666664,0.3893805309734513,0.32248062015503876,0.12105263157894737,0.9392156862745098,0.41509433962264153,0.9264990328820116
CN_Loss,paternal,clone2,chisel_5x,0.6322857142857142,0.414604693552062,0.8614035087719298,0.41818181818181815,0.32857142857142857,0.368,0.29142407553107785,0.13859649122807016,0.936,0.41818181818181815,0.9087378640776699
CN_Loss,paternal,clone3,chisel_5x,0.6287523452157598,0.4299619240408714,0.8526315789473684,0.44642857142857145,0.32051282051282054,0.373134328358209,0.292176689728579,0.14736842105263157,0.9369918699186992,0.44642857142857145,0.896887159533074
CN_Loss,paternal,clone4,chisel_5x,0.6104027818023761,0.39480646059593427,0.8473684210526315,0.4074074074074074,0.2857142857142857,0.33587786259541985,0.25264490460258615,0.15263157894736842,0.9350912778904665,0.4074074074074074,0.8934108527131783
CN_Loss,paternal,clone5,chisel_5x,0.5949099488425331,0.3924653628453156,0.8263157894736842,0.4107142857142857,0.25842696629213485,0.31724137931034485,0.22360419361052253,0.1736842105263158,0.9313929313929314,0.4107142857142857,0.8715953307392996
CN_Loss,paternal,clone6,chisel_5x,0.6036464294891262,0.4140712267560287,0.8333333333333334,0.4444444444444444,0.2696629213483146,0.3356643356643357,0.2468497037469749,0.16666666666666666,0.9376299376299376,0.4444444444444444,0.874031007751938
CN_Loss,paternal,clone7,chisel_5x,0.6187748942381435,0.4246938883352961,0.843859649122807,0.44642857142857145,0.30120481927710846,0.3597122302158273,0.2746017673806731,0.156140350877193,0.9363449691991786,0.44642857142857145,0.8871595330739299
CN_Loss,paternal,clone8,chisel_5x,0.60604739727913,0.42253010147746994,0.8315789473684211,0.45454545454545453,0.27472527472527475,0.3424657534246575,0.2525611255292993,0.16842105263157894,0.9373695198329853,0.45454545454545453,0.8718446601941747
CN_Loss,paternal,clone9,chisel_5x,0.5975079113924051,0.415703320802005,0.8210526315789474,0.44642857142857145,0.2604166666666667,0.32894736842105265,0.2338709677419355,0.17894736842105263,0.9345991561181435,0.44642857142857145,0.8618677042801557
CN_equal_2,maternal,normal,chisel_5x,,,1.0,0.0,0.0,0.0,,0.0,,,
CN_equal_2,maternal,clone1,chisel_5x,0.5105217788144618,0.11322224480119217,0.8842105263157894,0.08571428571428572,0.08108108108108109,0.08333333333333333,0.021586475942782846,0.11578947368421053,0.9399624765478424,0.08571428571428572,0.9364485981308411
CN_equal_2,maternal,clone2,chisel_5x,0.5191143774703557,0.18608284883720932,0.8368421052631579,0.16279069767441862,0.109375,0.1308411214953271,0.044623869084093215,0.1631578947368421,0.9288537549407114,0.16279069767441862,0.8918406072106262
CN_equal_2,maternal,clone3,chisel_5x,0.5085571800974725,0.14256197439782184,0.8456140350877193,0.10638297872340426,0.09803921568627451,0.10204081632653061,0.01774174597579614,0.1543859649122807,0.9190751445086706,0.10638297872340426,0.9120458891013384
CN_equal_2,maternal,clone4,chisel_5x,0.5265804597701149,0.19244505494505493,0.7912280701754386,0.10989010989010989,0.20833333333333334,0.14388489208633093,0.037790450251085184,0.20877192982456141,0.8448275862068966,0.10989010989010989,0.9206680584551148
CN_equal_2,maternal,clone5,chisel_5x,0.5470647773279352,0.2809981033665244,0.7456140350877193,0.1891891891891892,0.27631578947368424,0.22459893048128343,0.07878017789072422,0.2543859649122807,0.8178137651821862,0.1891891891891892,0.8801742919389978
CN_equal_2,maternal,clone6,chisel_5x,0.49506303333419266,0.18875251996504494,0.7614035087719299,0.12987012987012986,0.12658227848101267,0.1282051282051282,-0.009979935899106174,0.23859649122807017,0.8635437881873728,0.12987012987012986,0.8600405679513184
CN_equal_2,maternal,clone7,chisel_5x,0.503548580567773,0.20469633823951794,0.7666666666666667,0.1506849315068493,0.13414634146341464,0.14193548387096774,0.007436696430909495,0.23333333333333334,0.8729508196721312,0.1506849315068493,0.8571428571428571
